"Postcode","OA_Code","Total","Percentage"
"S11 7FB","E00039833",73,97
"S11 7FE","E00039833",4,11
"S11 7FE","E00039834",32,89
"S11 7FN","E00039833",10,59
"S11 7FN","E00039834",7,41
"S11 7GR","E00040157",3,21
"S11 7GR","E00040186",11,79
"S11 7LG","E00040187",47,94
"S11 7LG","E00040191",3,6
"S11 7TU","E00040106",9,33
"S11 7TU","E00040200",12,44
"S11 7TU","E00040296",6,22
"S11 8AA","E00041083",2,6
"S11 8AA","E00041119",3,9
"S11 8AA","E00041121",28,85
"S11 8AP","E00041073",10,22
"S11 8AP","E00041120",36,78
"S11 8HA","E00172441",51,98
"S11 8HA","E00172451",1,2
"S11 8NE","E00041070",5,3
"S11 8NE","E00041110",155,97
"S11 8NT","E00039811",82,46
"S11 8NT","E00041070",2,1
"S11 8NT","E00041110",96,53
"S11 8NW","E00039811",206,96
"S11 8NW","E00039816",9,4
"S11 8NX","E00041104",75,82
"S11 8NX","E00041110",16,18
"S11 8PG","E00039811",6,13
"S11 8PG","E00039816",39,81
"S11 8PG","E00040771",3,6
"S11 8PR","E00039812",42,75
"S11 8PR","E00039826",14,25
"S11 8PU","E00040780",7,58
"S11 8PU","E00040788",5,42
"S11 8QF","E00039826",34,94
"S11 8QF","E00040773",2,6
"S11 8QH","E00039826",35,38
"S11 8QH","E00040772",57,62
"S11 8QN","E00040772",2,5
"S11 8QN","E00040773",40,95
"S11 8RB","E00039818",1,1
"S11 8RB","E00039823",121,99
"S11 8TZ","E00040780",2,3
"S11 8TZ","E00040788",71,97
"S11 9AA","E00040781",11,17
"S11 9AA","E00040786",53,83
"S11 9AQ","E00040747",9,9
"S11 9AQ","E00040783",90,91
"S11 9AW","E00040747",6,6
"S11 9AW","E00040790",99,94
"S11 9DQ","E00040748",65,46
"S11 9DQ","E00040750",38,27
"S11 9DQ","E00040794",37,26
"S11 9EP","E00040750",15,83
"S11 9EP","E00040794",3,17
"S11 9FS","E00040757",3,7
"S11 9FS","E00040763",42,93
"S11 9HH","E00040204",54,93
"S11 9HH","E00040754",4,7
"S11 9ND","E00040168",8,15
"S11 9ND","E00040171",44,85
"S11 9NY","E00040164",20,47
"S11 9NY","E00040165",23,53
"S11 9PN","E00040203",48,92
"S11 9PN","E00040205",4,8
"S11 9PR","E00040203",32,51
"S11 9PR","E00040205",31,49
"S11 9PU","E00040167",1,3
"S11 9PU","E00040211",31,97
"S11 9PY","E00040167",64,52
"S11 9PY","E00040171",58,48
"S11 9PZ","E00040164",1,7
"S11 9PZ","E00040165",13,93
"S11 9QB","E00040095",2,11
"S11 9QB","E00040164",17,89
"S11 9QD","E00040095",4,50
"S11 9QD","E00040164",4,50
"S11 9QU","E00040168",39,63
"S11 9QU","E00040171",23,37
"S11 9RW","E00040164",4,6
"S11 9RW","E00040165",66,94
"S11 9RX","E00040164",5,20
"S11 9RX","E00040165",20,80
"S12 2AQ","E00040583",70,99
"S12 2AQ","E00040587",1,1
"S12 2AW","E00040526",16,59
"S12 2AW","E00040583",11,41
"S12 2AY","E00040574",1,1
"S12 2AY","E00040579",111,99
"S12 2FH","E00040526",2,3
"S12 2FH","E00040587",76,97
"S12 2FT","E00040538",3,6
"S12 2FT","E00040541",44,94
"S12 2GE","E00040544",71,89
"S12 2GE","E00040548",9,11
"S12 2HB","E00040581",4,57
"S12 2HB","E00040583",3,43
"S12 2RX","E00040400",62,76
"S12 2RX","E00040442",20,24
"S12 2TZ","E00040400",67,54
"S12 2TZ","E00040442",56,46
"S12 2UL","E00040539",158,93
"S12 2UL","E00040553",12,7
"S12 2UW","E00040539",22,59
"S12 2UW","E00040553",15,41
"S12 3AN","E00039690",5,5
"S12 3AN","E00039701",85,92
"S12 3AN","E00039715",2,2
"S12 3DG","E00039734",133,88
"S12 3DG","E00040552",19,13
"S12 3DL","E00039741",39,47
"S12 3DL","E00040552",44,53
"S12 3DN","E00039741",34,71
"S12 3DN","E00040556",14,29
"S12 3DT","E00039698",104,98
"S12 3DT","E00039713",2,2
"S12 3FN","E00039741",74,77
"S12 3FN","E00040556",22,23
"S12 3GB","E00039721",16,80
"S12 3GB","E00100285",4,20
"S12 3XF","E00040670",20,13
"S12 3XF","E00100284",133,87
"S12 3XR","E00100284",16,14
"S12 3XR","E00100285",3,3
"S12 3XR","E00100286",93,83
"S12 3XS","E00100285",30,65
"S12 3XS","E00100286",16,35
"S12 3XX","E00100285",5,29
"S12 3XX","E00100286",12,71
"S12 3YA","E00100285",33,94
"S12 3YA","E00100286",2,6
"S12 3YD","E00100285",29,71
"S12 3YD","E00100287",12,29
"S12 4BY","E00040647",48,94
"S12 4BY","E00040713",3,6
"S12 4LQ","E00040651",4,44
"S12 4LQ","E00040704",5,56
"S12 4LT","E00039712",1,20
"S12 4LT","E00040651",1,20
"S12 4LT","E00040721",3,60
"S12 4NR","E00040651",31,62
"S12 4NR","E00040719",12,24
"S12 4NR","E00040721",7,14
"S12 4PF","E00039704",8,13
"S12 4PF","E00039706",54,87
"S12 4PL","E00039706",1,6
"S12 4PL","E00039709",17,94
"S12 4PW","E00039704",6,25
"S12 4PW","E00039706",18,75
"S12 4RL","E00039731",82,93
"S12 4RL","E00039737",6,7
"S12 4YJ","E00039697",5,7
"S12 4YJ","E00039743",68,93
"S12 4YL","E00039733",5,56
"S12 4YL","E00039740",4,44
"S1  2EA","E00172418",64,62
"S1  2EA","E00172419",39,38
"S1  2EG","E00172418",15,94
"S1  2EG","E00172419",1,6
"S13 7BA","E00040344",13,14
"S13 7BA","E00040387",80,86
"S13 7DZ","E00040345",13,26
"S13 7DZ","E00040347",37,74
"S13 7EX","E00040345",15,14
"S13 7EX","E00040375",90,86
"S13 7JH","E00040359",58,85
"S13 7JH","E00040382",10,15
"S13 7JJ","E00040362",71,95
"S13 7JJ","E00040382",4,5
"S13 7JQ","E00040376",5,83
"S13 7JQ","E00040382",1,17
"S13 7PE","E00040376",1,17
"S13 7PE","E00040380",5,83
"S13 7PW","E00040343",84,95
"S13 7PW","E00040383",4,5
"S13 7QT","E00040346",65,97
"S13 7QT","E00040348",2,3
"S13 7QW","E00040385",1,1
"S13 7QW","E00040386",78,99
"S13 7RJ","E00040358",3,13
"S13 7RJ","E00172541",21,88
"S13 7RL","E00040343",3,27
"S13 7RL","E00172541",8,73
"S13 8AX","E00040575",4,6
"S13 8AX","E00040579",68,94
"S13 8FQ","E00040531",46,96
"S13 8FQ","E00040570",2,4
"S13 8FW","E00040533",5,4
"S13 8FW","E00040572",136,96
"S13 8HH","E00040076",43,93
"S13 8HH","E00040082",3,7
"S13 8LE","E00040370",111,97
"S13 8LE","E00040372",3,3
"S13 8LU","E00040365",18,95
"S13 8LU","E00040370",1,5
"S13 8PE","E00040082",5,13
"S13 8PE","E00040570",33,87
"S13 8PS","E00040353",1,1
"S13 8PS","E00040354",67,99
"S13 8SL","E00040341",113,97
"S13 8SL","E00040368",3,3
"S13 8UG","E00040390",103,99
"S13 8UG","E00040395",1,1
"S13 9AA","E00172490",26,23
"S13 9AA","E00172535",85,77
"S13 9DJ","E00172490",119,95
"S13 9DJ","E00172535",6,5
"S13 9DQ","E00172490",19,45
"S13 9DQ","E00172535",23,55
"S13 9UT","E00040339",152,96
"S13 9UT","E00040361",6,4
"S13 9ZB","E00038854",81,98
"S13 9ZB","E00168782",2,2
"S14 1AB","E00040927",34,85
"S14 1AB","E00040945",6,15
"S14 1FX","E00040939",21,88
"S14 1FX","E00172524",3,13
"S14 1PH","E00040424",1,2
"S14 1PH","E00040431",60,98
"S14 1RF","E00040400",3,3
"S14 1RF","E00040442",105,97
"S14 1RJ","E00040400",97,99
"S14 1RJ","E00040442",1,1
"S14 1SX","E00040559",58,98
"S14 1SX","E00040564",1,2
"S14 1TJ","E00040563",2,4
"S14 1TJ","E00040564",50,96
"S14 1TN","E00040559",4,16
"S14 1TN","E00040564",21,84
"S1  4BB","E00172532",68,60
"S1  4BB","E00172537",46,40
"S1  4DE","E00172404",47,92
"S1  4DE","E00172537",4,8
"S1  4DF","E00172404",6,1
"S1  4DF","E00172413",489,99
"S1  4EL","E00172412",12,13
"S1  4EL","E00172460",80,87
"S1  4JL","E00172414",1,50
"S1  4JL","E00172499",1,50
"S1  4RT","E00172504",40,66
"S1  4RT","E00172505",21,34
"S17 3DA","E00040095",24,92
"S17 3DA","E00040106",2,8
"S17 3DT","E00040105",15,88
"S17 3DT","E00040150",2,12
"S17 3GG","E00040098",1,2
"S17 3GG","E00040111",52,98
"S17 3JU","E00040096",21,68
"S17 3JU","E00040151",10,32
"S17 3LB","E00040149",4,8
"S17 3LB","E00040173",45,92
"S17 3NQ","E00040113",2,2
"S17 3NQ","E00040151",105,98
"S17 3NW","E00040103",62,97
"S17 3NW","E00040110",2,3
"S17 3NZ","E00040097",52,98
"S17 3NZ","E00040110",1,2
"S17 3PU","E00040096",34,97
"S17 3PU","E00040149",1,3
"S17 3QR","E00040125",5,4
"S17 3QR","E00040132",126,96
"S17 3QX","E00040088",56,95
"S17 3QX","E00040112",3,5
"S17 3QY","E00040089",104,98
"S17 3QY","E00040112",2,2
"S17 4AA","E00040092",7,12
"S17 4AA","E00040093",50,88
"S17 4AJ","E00040106",9,53
"S17 4AJ","E00040135",8,47
"S17 4BB","E00040092",58,64
