"Postcode","OA_Code","Total","Percentage"
"M14 4EH","E00026568",4,11
"M14 4GP","E00026402",5,71
"M14 4GP","E00175830",2,29
"M14 4HY","E00175929",22,45
"M14 4HY","E00176093",27,55
"M14 4JF","E00026540",24,56
"M14 4JF","E00026552",19,44
"M14 4JU","E00026540",12,29
"M14 4JU","E00026543",30,71
"M14 4JZ","E00026536",1,4
"M14 4JZ","E00026540",24,96
"M14 4TS","E00026548",2,5
"M14 4TS","E00026552",36,95
"M14 4WH","E00026542",6,5
"M14 4WH","E00026543",68,59
"M14 4WH","E00026549",42,36
"M14 5BZ","E00026493",81,98
"M14 5BZ","E00026764",2,2
"M14 5GJ","E00176040",20,33
"M14 5GJ","E00176041",41,67
"M14 5HA","E00026772",10,71
"M14 5HA","E00026777",4,29
"M14 5HZ","E00175807",54,79
"M14 5HZ","E00176019",14,21
"M14 5LB","E00026780",25,83
"M14 5LB","E00175959",5,17
"M14 5LY","E00175807",131,89
"M14 5LY","E00176021",16,11
"M14 5PG","E00026493",112,95
"M14 5PG","E00026510",6,5
"M14 5QT","E00026534",2,22
"M14 5QT","E00176022",7,78
"M14 5TE","E00175806",343,86
"M14 5TE","E00176018",54,14
"M14 6AH","E00026892",23,45
"M14 6AH","E00026893",28,55
"M14 6BN","E00026703",8,4
"M14 6BN","E00026726",192,96
"M14 6FW","E00026228",45,78
"M14 6FW","E00026248",13,22
"M14 6GT","E00026228",33,87
"M14 6GT","E00026248",5,13
"M14 6GU","E00026228",63,66
"M14 6GU","E00026248",32,34
"M14 6JS","E00026226",32,71
"M14 6JS","E00176061",13,29
"M14 6LD","E00026253",1,17
"M14 6LD","E00175957",5,83
"M14 6NQ","E00026758",84,75
"M14 6NQ","E00026894",28,25
"M14 6NS","E00026226",74,49
"M14 6NS","E00026723",76,51
"M14 6RN","E00026867",32,82
"M14 6RN","E00026901",7,18
"M14 6RQ","E00026868",28,78
"M14 6RQ","E00026870",8,22
"M14 6RR","E00026861",5,9
"M14 6RR","E00026899",53,91
"M14 6SP","E00026867",8,33
"M14 6SP","E00026870",16,67
"M14 6ST","E00026869",47,90
"M14 6ST","E00026870",5,10
"M14 6UN","E00026871",10,24
"M14 6UN","E00026903",31,76
"M14 6UQ","E00026871",15,15
"M14 6UQ","E00026903",86,85
"M14 6WN","E00175819",37,23
"M14 6WN","E00175958",123,77
"M14 6WP","E00026893",69,92
"M14 6WP","E00175958",6,8
"M14 7AW","E00026246",1,3
"M14 7AW","E00026250",34,97
"M14 7BB","E00026233",22,49
"M14 7BB","E00026248",23,51
"M14 7BX","E00026247",20,44
"M14 7BX","E00026557",25,56
"M14 7EU","E00026228",5,25
"M14 7EU","E00026254",15,75
"M14 7FZ","E00026239",79,74
"M14 7FZ","E00026242",28,26
"M14 7HS","E00026232",13,26
"M14 7HS","E00026554",37,74
"M14 7JG","E00026235",25,32
"M14 7JG","E00026546",53,68
"M14 7PA","E00026545",54,68
"M14 7PA","E00026775",26,33
"M14 7PT","E00026555",69,57
"M14 7PT","E00026782",52,43
"M14 7WS","E00026232",12,11
"M14 7WS","E00026556",93,89
"M15 4AW","E00026378",60,94
"M15 4AW","E00175908",4,6
"M15 4AY","E00175836",122,90
"M15 4AY","E00175919",14,10
"M15 4HB","E00026381",39,91
"M15 4HB","E00031363",4,9
"M15 4JG","E00175907",77,63
"M15 4JG","E00175908",45,37
"M15 5AA","E00026408",18,28
"M15 5AA","E00175920",46,72
"M15 5AX","E00175911",38,28
"M15 5AX","E00175912",99,72
"M15 5AY","E00026400",4,3
"M15 5AY","E00175828",114,83
"M15 5AY","E00175911",18,13
"M15 5AY","E00175921",2,1
"M15 5BP","E00175920",2,13
"M15 5BP","E00176026",14,88
"M15 5EA","E00175920",24,96
"M15 5EA","E00176090",1,4
"M15 5FP","E00175836",8,9
