"Postcode","OA_Code","Total","Percentage"
"GL127HN","E00113962",36,72
"GL127HN","E00113964",14,28
"GL127JS","E00113962",4,5
"GL127JS","E00113964",74,95
"GL127JU","E00113949",32,94
"GL127JU","E00113966",2,6
"GL127LN","E00113958",1,25
"GL127LN","E00113959",3,75
"GL127LU","E00113956",1,2
"GL127LU","E00113967",40,98
"GL127NJ","E00113955",2,4
"GL127NJ","E00113956",45,96
"GL127NP","E00113956",9,16
"GL127NP","E00113967",48,84
"GL127PA","E00113948",15,52
"GL127PA","E00113955",14,48
"GL127PT","E00113948",2,6
"GL127PT","E00113955",33,94
"GL127PZ","E00112858",15,94
"GL127PZ","E00113955",1,6
"GL127QB","E00112858",3,60
"GL127QB","E00113773",2,40
"GL127QU","E00113777",35,85
"GL127QU","E00113955",6,15
"GL127RD","E00113772",63,98
"GL127RD","E00113773",1,2
"GL127RS","E00113772",52,96
"GL127RS","E00113773",2,4
"GL128AF","E00173069",12,46
"GL128AF","E00173071",14,54
"GL128AL","E00075216",12,32
"GL128AL","E00173071",25,68
"GL128AY","E00075216",48,74
"GL128AY","E00075437",17,26
"GL128BD","E00075216",4,4
"GL128BD","E00075433",100,96
"GL128DJ","E00075709",29,94
"GL128DJ","E00113937",2,6
"GL128DZ","E00075710",11,85
"GL128DZ","E00075714",2,15
"GL128EA","E00075710",19,79
"GL128EA","E00075714",5,21
"GL128EY","E00075214",4,40
"GL128EY","E00113934",6,60
"GL128HB","E00075217",4,44
"GL128HB","E00113934",5,56
"GL128HX","E00075208",24,92
"GL128HX","E00075217",2,8
"GL128NA","E00075435",1,17
"GL128NA","E00113777",5,83
"GL128NN","E00075436",26,87
"GL128NN","E00075440",4,13
"GL128PH","E00075436",3,3
"GL128PH","E00075439",83,97
"GL128PU","E00075710",7,47
"GL128PU","E00075714",8,53
"GL128QD","E00075216",8,50
"GL128QD","E00075751",8,50
"GL128QE","E00075751",2,3
"GL128QE","E00075752",57,97
"GL128QL","E00075710",11,25
"GL128QL","E00075714",33,75
"GL128QP","E00075751",13,81
"GL128QP","E00075752",3,19
"GL128RA","E00113778",74,54
"GL128RA","E00113955",62,46
"GL128SB","E00113778",23,92
"GL128SB","E00113955",2,8
"GL128TN","E00075207",64,93
"GL128TN","E00075210",5,7
"GL128UP","E00075751",20,67
"GL128UP","E00075752",10,33
"GL1 2BS","E00113403",47,78
"GL1 2BS","E00113415",13,22
"GL1 2DA","E00113403",7,39
"GL1 2DA","E00113597",11,61
"GL1 2QH","E00113402",3,5
"GL1 2QH","E00113417",57,95
"GL139DB","E00113621",50,94
"GL139DB","E00168986",3,6
"GL139ES","E00113623",15,56
"GL139ES","E00113935",12,44
"GL139EU","E00113623",2,8
"GL139EU","E00113934",15,60
"GL139EU","E00113938",8,32
"GL139EW","E00113623",18,69
"GL139EW","E00113934",8,31
"GL139EZ","E00113623",3,75
"GL139EZ","E00113934",1,25
"GL139HJ","E00113623",64,85
"GL139HJ","E00113624",4,5
"GL139HJ","E00113626",7,9
"GL139JR","E00113934",78,92
"GL139JR","E00113936",7,8
"GL139JW","E00113934",2,9
"GL139JW","E00113935",20,91
"GL139LA","E00075709",7,37
"GL139LA","E00113936",12,63
"GL139LQ","E00113936",2,29
"GL139LQ","E00113937",5,71
"GL139NF","E00113625",17,74
"GL139NF","E00113628",6,26
"GL139NH","E00113624",10,42
"GL139NH","E00113628",14,58
"GL139NT","E00113625",31,86
"GL139NT","E00113628",5,14
"GL139PE","E00113625",58,94
"GL139PE","E00113628",4,6
"GL139PL","E00113623",2,10
"GL139PL","E00113935",18,90
"GL139RL","E00113620",11,92
"GL139RL","E00113624",1,8
"GL139RY","E00113624",30,88
"GL139RY","E00113627",4,12
"GL139TF","E00113624",2,13
"GL139TF","E00168986",13,87
"GL139TG","E00113624",28,44
"GL139TG","E00168986",35,56
"GL139TQ","E00113624",60,62
"GL139TQ","E00168986",37,38
"GL1 3BG","E00113414",17,81
"GL1 3BG","E00113419",4,19
"GL1 3HB","E00113403",3,43
"GL1 3HB","E00113409",4,57
"GL1 3HG","E00113416",8,57
"GL1 3HG","E00113418",6,43
"GL1 3JX","E00113413",6,12
"GL1 3JX","E00113416",46,88
"GL1 3NW","E00113410",15,13
"GL1 3NW","E00168979",100,87
"GL1 3NY","E00113408",16,67
"GL1 3NY","E00113409",8,33
"GL1 3PD","E00113406",2,13
"GL1 3PD","E00113408",14,88
"GL1 3PG","E00113406",2,9
"GL1 3PG","E00113408",20,91
"GL1 3QS","E00113421",3,9
"GL1 3QS","E00113423",32,91
"GL141AF","E00113187",6,16
"GL141AF","E00113188",31,84
"GL141AX","E00113187",1,3
"GL141AX","E00113188",30,97
"GL141BB","E00113187",36,92
"GL141BB","E00113188",3,8
"GL141BH","E00113187",14,78
"GL141BH","E00113188",4,22
"GL141BQ","E00113187",1,50
"GL141BQ","E00113188",1,50
"GL141BY","E00113187",5,16
"GL141BY","E00113188",27,84
"GL141DA","E00113186",10,42
"GL141DA","E00113187",6,25
"GL141DA","E00113188",8,33
"GL141JB","E00113188",7,19
"GL141JB","E00113191",30,81
"GL141JR","E00112996",43,93
"GL141JR","E00113191",3,7
"GL141JS","E00112996",0,0
"GL141JS","E00113099",5,31
"GL141JS","E00113191",11,69
"GL141JT","E00113099",8,42
"GL141JT","E00113191",11,58
"GL141LE","E00113099",51,94
"GL141LE","E00113191",3,6
"GL141NF","E00113190",5,45
"GL141NF","E00113193",6,55
"GL141PF","E00113190",3,43
"GL141PF","E00113194",4,57
"GL141PN","E00113190",4,67
"GL141PN","E00113192",2,33
"GL142AA","E00113030",116,95
"GL142AA","E00113041",6,5
